Sl.No,Transaction ID,Product,Price/Unit,Quantity,Total Spent,Payment Method,Purchase_Mode,Transaction Date,Discount Applied,Transaction_Month_Name,Transaction Day,Transaction Quarter,Revenue,Avg_Spend/Unit,Top sales,Bulk Order,Product Price Band
1,TXN_6867343,Patisserie,18.5,10.0,185.0,Digital Wallet,Online,2024-04-08,True,April,Monday,2,High,18.5,0,0,Low
2,TXN_3731986,Milk Products,29.0,9.0,261.0,Digital Wallet,Online,2023-07-23,True,July,Sunday,3,High,29.0,1,0,Medium
3,TXN_9303719,Butchers,21.5,2.0,43.0,Credit Card,Online,2022-10-05,False,October,Wednesday,4,Low,21.5,0,0,Medium
4,TXN_9458126,Beverages,27.5,9.0,247.5,Credit Card,Online,2022-05-07,Unknown,May,Saturday,2,High,27.5,1,0,Medium
5,TXN_4575373,Food,12.5,7.0,87.5,Digital Wallet,Online,2022-10-02,False,October,Sunday,4,Medium,12.5,0,0,Low
6,TXN_7482416,Patisserie,23.0,10.0,230.0,Credit Card,Online,2023-11-30,Unknown,November,Thursday,4,High,23.0,1,0,Medium
7,TXN_3652209,Food,5.0,8.0,40.0,Credit Card,In-store,2023-06-10,True,June,Saturday,2,Low,5.0,0,0,Low
8,TXN_1372952,Furniture,33.5,6.0,201.0,Digital Wallet,In-store,2024-04-02,True,April,Tuesday,2,High,33.5,1,0,High
9,TXN_9728486,Furniture,27.5,1.0,27.5,Credit Card,In-store,2023-04-26,False,April,Wednesday,2,Low,27.5,0,0,Medium
10,TXN_2722661,Butchers,36.5,3.0,109.5,Cash,Online,2024-03-14,False,March,Thursday,1,Medium,36.5,0,0,High
11,TXN_8776416,Butchers,8.0,9.0,72.0,Cash,In-store,2024-12-14,True,December,Saturday,4,Medium,8.0,0,0,Low
12,TXN_5422631,Milk Products,23.0,8.0,184.0,Digital Wallet,In-store,2025-01-12,True,January,Sunday,1,High,23.0,0,0,Medium
13,TXN_5874772,Food,6.5,7.0,45.5,Cash,Online,2023-09-09,True,September,Saturday,3,Low,6.5,0,0,Low
14,TXN_4413070,Patisserie,39.5,6.0,237.0,Digital Wallet,In-store,2022-05-20,False,May,Friday,2,High,39.5,1,0,High
15,TXN_2490363,Milk Products,27.5,2.0,55.0,Digital Wallet,Online,2022-05-22,Unknown,May,Sunday,2,Low,27.5,0,0,Medium
16,TXN_1809665,Beverages,24.5,6.0,147.0,Credit Card,In-store,2022-05-11,Unknown,May,Wednesday,2,Medium,24.5,0,0,Medium
17,TXN_7563311,Patisserie,29.0,8.0,232.0,Cash,Online,2024-11-16,True,November,Saturday,4,High,29.0,1,0,Medium
18,TXN_9634894,Milk Products,23.0,10.0,230.0,Digital Wallet,Online,2022-04-17,Unknown,April,Sunday,2,High,23.0,1,0,Medium
19,TXN_4396807,Electric household essentials,23.0,1.0,23.0,Digital Wallet,In-store,2022-02-07,False,February,Monday,1,Low,23.0,0,0,Medium
20,TXN_4206593,Furniture,35.0,6.0,210.0,Digital Wallet,Online,2025-01-13,False,January,Monday,1,High,35.0,1,0,High
21,TXN_9939063,Beverages,14.0,9.0,126.0,Digital Wallet,In-store,2024-01-14,Unknown,January,Sunday,1,Medium,14.0,0,0,Low
22,TXN_8685338,Milk Products,23.0,3.0,69.0,Credit Card,In-store,2023-10-29,Unknown,October,Sunday,4,Low,23.0,0,0,Medium
23,TXN_6547964,Electric household essentials,9.5,7.0,66.5,Cash,In-store,2022-08-15,Unknown,August,Monday,3,Low,9.5,0,0,Low
24,TXN_3314099,Food,18.5,1.0,18.5,Cash,Online,2023-09-30,False,September,Saturday,3,Low,18.5,0,0,Low
25,TXN_9980736,Furniture,24.5,2.0,49.0,Cash,Online,2023-08-29,False,August,Tuesday,3,Low,24.5,0,0,Medium
26,TXN_3481599,Furniture,39.5,6.0,237.0,Cash,Online,2022-09-08,False,September,Thursday,3,High,39.5,1,0,High
27,TXN_9057609,Butchers,33.5,4.0,134.0,Credit Card,In-store,2022-03-16,True,March,Wednesday,1,Medium,33.5,0,0,High
